time,open,high,low,close,volume
2021-08-16 07:00:00,38.53,38.68,37.99,38.65,894000
2021-08-17 07:00:00,38.57,39.93,38.38,39.5,1367400
2021-08-18 07:00:00,39.5,40.93,39.5,40.7,1523000
2021-08-19 07:00:00,40.74,42.6,40.74,42.17,1525200
2021-08-20 07:00:00,42.29,42.41,40.31,41.67,1977400
2021-08-23 07:00:00,40.7,42.6,40.7,42.29,1042400
2021-08-24 07:00:00,41.86,41.98,40.7,41.67,1289300
2021-08-25 07:00:00,41.67,42.25,41.09,41.82,504700
2021-08-26 07:00:00,41.82,43.41,41.67,42.91,1046200
2021-08-27 07:00:00,43.03,43.76,42.25,43.34,708900
2021-08-30 07:00:00,43.34,44.58,43.34,44.58,791900
2021-08-31 07:00:00,44.96,46.13,44.89,45.74,1037700
2021-09-01 07:00:00,45.7,46.13,45.24,45.43,711700
2021-09-06 07:00:00,45.43,45.43,44.62,44.96,827400
2021-09-07 07:00:00,44.58,44.81,43.88,44.46,1241300
2021-09-08 07:00:00,44.07,45.28,44.07,44.96,432200
2021-09-09 07:00:00,44.96,45.04,44.69,44.81,304500
2021-09-10 07:00:00,45.12,45.74,44.89,45.47,429300
2021-09-13 07:00:00,45.74,48.65,45.74,48.65,1947000
2021-09-14 07:00:00,49.46,50.12,49.04,49.54,938800
2021-09-15 07:00:00,49.62,49.93,49.42,49.85,1070800
2021-09-16 07:00:00,50.39,51.98,50.12,51.44,1055100
2021-09-17 07:00:00,53.07,55.0,52.29,55.0,2013900
2021-09-20 07:00:00,58.14,58.84,56.59,57.18,1596400
2021-09-21 07:00:00,56.01,61.05,56.01,60.74,1402800
2021-09-22 07:00:00,62.41,64.97,62.41,64.97,968800
2021-09-23 07:00:00,67.83,69.19,60.43,60.43,3515200
2021-09-24 07:00:00,58.14,59.31,56.98,57.37,2304600
2021-09-27 07:00:00,57.02,59.81,57.02,57.45,1074900
2021-09-28 07:00:00,57.45,58.92,57.02,58.92,649300
2021-09-29 07:00:00,58.53,58.53,55.47,55.47,1677600
2021-09-30 07:00:00,55.51,58.92,55.51,58.49,828200
2021-10-01 07:00:00,57.41,62.37,57.41,61.59,1457200
2021-10-04 07:00:00,62.21,63.38,59.31,59.66,972200
2021-10-05 07:00:00,59.62,60.7,58.84,58.96,733600
2021-10-06 07:00:00,59.27,59.27,57.02,57.95,1092300
2021-10-07 07:00:00,57.95,59.66,57.29,58.14,484200
2021-10-08 07:00:00,57.76,59.73,57.76,58.38,417500
2021-10-11 07:00:00,58.73,59.15,58.14,58.84,770900
2021-10-12 07:00:00,58.84,62.02,58.84,62.02,2388900
2021-10-13 07:00:00,62.02,63.73,62.02,62.64,1296200
2021-10-14 07:00:00,62.6,63.49,61.13,61.17,1090500
2021-10-15 07:00:00,60.9,62.02,60.9,61.48,912500
2021-10-18 07:00:00,62.02,62.02,59.77,60.66,1237700
2021-10-19 07:00:00,59.11,59.77,58.84,58.92,1993200
2021-10-20 07:00:00,59.54,62.02,59.04,61.32,1555400
2021-10-21 07:00:00,61.32,63.57,61.28,62.41,1478000
2021-10-22 07:00:00,62.95,62.99,61.28,61.75,1130600
2021-10-25 07:00:00,62.02,63.34,60.47,60.86,1115700
2021-10-26 07:00:00,60.08,61.24,59.93,60.82,683100
2021-10-27 07:00:00,61.01,61.01,60.28,60.39,905800
2021-10-28 07:00:00,60.47,61.24,59.58,59.62,1205200
2021-10-29 07:00:00,59.5,59.5,58.88,59.23,1901100
2021-11-01 07:00:00,59.31,61.01,59.23,60.35,1075000
2021-11-02 07:00:00,60.47,61.05,59.93,60.39,832300
2021-11-03 07:00:00,60.55,60.55,59.38,59.5,1006400
2021-11-04 07:00:00,59.5,60.86,59.23,60.62,807700
2021-11-05 07:00:00,61.48,64.73,60.66,63.26,3567900
2021-11-08 07:00:00,63.49,65.63,63.34,63.53,1744300
2021-11-09 07:00:00,63.73,63.73,61.44,61.63,1712600
2021-11-10 07:00:00,61.09,61.21,60.08,60.35,2563600
2021-11-11 07:00:00,60.08,60.35,59.77,60.04,1685800
2021-11-12 07:00:00,59.93,60.28,59.7,60.28,1337100
2021-11-15 07:00:00,60.2,60.28,59.89,60.08,1309500
2021-11-16 07:00:00,59.89,61.63,59.89,60.86,2115500
2021-11-17 07:00:00,61.24,63.38,61.24,63.38,3484500
2021-11-18 07:00:00,63.96,65.9,63.96,65.63,3163800
2021-11-19 07:00:00,65.7,67.25,62.8,65.63,2282100
2021-11-22 07:00:00,65.51,66.63,63.57,63.92,2273400
2021-11-23 07:00:00,63.57,64.73,62.95,64.54,1594300
2021-11-24 07:00:00,64.73,65.86,64.69,64.97,1257900
2021-11-25 07:00:00,65.12,65.24,64.0,64.85,1193600
2021-11-26 07:00:00,64.54,64.93,62.6,62.8,1864000
2021-11-29 07:00:00,61.67,62.49,61.24,61.94,1106000
2021-11-30 07:00:00,62.41,64.35,61.67,63.34,1290700
2021-12-01 07:00:00,63.18,64.27,62.91,63.18,654400
2021-12-02 07:00:00,63.22,64.15,63.18,63.26,846500
2021-12-03 07:00:00,63.57,63.69,61.44,61.44,1140000
2021-12-06 07:00:00,61.32,61.63,59.89,60.24,1834800
2021-12-07 07:00:00,60.66,63.96,60.66,63.65,1084200
2021-12-08 07:00:00,64.35,66.67,64.35,65.51,1744100
2021-12-09 07:00:00,65.7,68.11,65.55,68.11,2386500
2021-12-10 07:00:00,68.22,70.55,68.18,68.8,2082300
2021-12-13 07:00:00,68.46,70.55,68.26,69.39,1409500
2021-12-14 07:00:00,69.39,69.39,67.25,67.87,1592000
2021-12-15 07:00:00,67.25,67.8,65.97,67.06,1410000
2021-12-16 07:00:00,68.22,68.22,66.63,67.45,756100
2021-12-17 07:00:00,67.1,67.37,66.28,66.87,1942700
2021-12-20 07:00:00,66.79,66.79,64.62,64.93,1494900
2021-12-21 07:00:00,64.93,65.24,61.56,62.37,2557600
2021-12-22 07:00:00,61.9,63.96,61.9,63.11,1460100
2021-12-23 07:00:00,62.25,63.49,61.05,61.63,1776500
2021-12-24 07:00:00,62.02,62.02,60.66,61.98,621900
2021-12-27 07:00:00,61.67,62.95,61.67,62.72,501500
2021-12-28 07:00:00,62.21,63.38,62.21,62.72,619400
2021-12-29 07:00:00,63.11,63.11,61.63,62.02,730500
2021-12-30 07:00:00,61.51,62.02,61.12,61.63,645400
2021-12-31 07:00:00,61.86,62.37,61.24,62.37,529000
2022-01-04 07:00:00,62.41,62.8,62.06,62.13,643100
2022-01-05 07:00:00,62.13,62.13,61.12,61.12,846500
2022-01-06 07:00:00,60.85,61.9,60.65,60.73,613100
2022-01-07 07:00:00,60.77,60.92,59.72,59.75,1010200
2022-01-10 07:00:00,59.64,59.64,55.82,56.56,2039400
2022-01-11 07:00:00,56.63,56.67,55.62,55.78,1309500
2022-01-12 07:00:00,56.56,58.51,56.01,58.47,758800
2022-01-13 07:00:00,57.92,58.31,57.02,57.14,405100
2022-01-14 07:00:00,55.85,57.18,55.85,56.2,311000
2022-01-17 07:00:00,56.95,56.95,52.3,52.3,1020500
2022-01-18 07:00:00,51.1,52.26,49.14,50.39,972500
2022-01-19 07:00:00,50.7,53.9,50.7,53.9,523300
2022-01-20 07:00:00,57.65,57.65,56.56,57.65,758400
2022-01-21 07:00:00,59.09,59.25,57.34,57.73,599100
2022-01-24 07:00:00,57.73,57.73,54.06,54.61,608200
2022-01-25 07:00:00,53.63,56.24,53.63,56.24,538700
2022-01-26 07:00:00,56.91,57.34,53.94,54.02,607900
2022-01-27 07:00:00,53.86,54.41,52.26,52.26,581900
2022-01-28 07:00:00,51.52,54.22,51.48,53.83,319000
2022-02-07 07:00:00,55.0,55.78,53.83,55.78,446700
2022-02-08 07:00:00,55.7,58.47,55.0,57.53,553100
2022-02-09 07:00:00,57.92,57.92,56.56,57.34,257700
2022-02-10 07:00:00,56.98,56.98,55.62,55.78,664200
