time,open,high,low,close,volume
2021-08-16 07:00:00,18.32,19.75,18.32,19.6,7094807
2021-08-17 07:00:00,19.6,19.85,19.14,19.34,3065680
2021-08-18 07:00:00,19.34,19.75,19.14,19.6,3424022
2021-08-19 07:00:00,19.6,20.21,19.6,20.21,6206056
2021-08-20 07:00:00,20.21,20.51,18.73,19.49,7257557
2021-08-23 07:00:00,19.49,19.49,18.32,18.32,3730391
2021-08-24 07:00:00,18.32,18.58,17.61,17.66,4186792
2021-08-25 07:00:00,17.71,18.42,17.66,18.37,1861242
2021-08-26 07:00:00,18.37,18.93,18.32,18.63,3139123
2021-08-27 07:00:00,18.58,19.49,18.32,19.39,4245522
2021-08-30 07:00:00,19.39,20.05,19.39,19.44,4034244
2021-08-31 07:00:00,19.44,21.28,19.29,20.36,10176510
2021-09-01 07:00:00,20.36,21.43,20.31,21.07,6859817
2021-09-06 07:00:00,21.07,22.4,21.07,21.63,5658085
2021-09-07 07:00:00,21.63,22.09,20.92,21.02,9239402
2021-09-08 07:00:00,21.02,21.63,20.72,21.38,5704867
2021-09-09 07:00:00,21.63,23.16,21.63,22.9,7720129
2021-09-10 07:00:00,22.9,23.16,22.34,22.55,4366754
2021-09-13 07:00:00,22.4,22.85,22.19,22.4,4709317
2021-09-14 07:00:00,22.4,23.16,22.19,22.34,5438502
2021-09-15 07:00:00,22.34,22.85,21.94,22.5,3930473
2021-09-16 07:00:00,22.55,23.62,22.55,23.31,6838590
2021-09-17 07:00:00,23.31,23.67,22.96,23.41,3357198
2021-09-20 07:00:00,23.41,24.68,23.41,23.97,7692535
2021-09-21 07:00:00,23.92,24.79,23.31,24.74,4801825
2021-09-22 07:00:00,24.79,26.47,24.53,26.47,6407029
2021-09-23 07:00:00,26.47,26.67,24.99,25.75,2802703
2021-09-24 07:00:00,25.65,25.65,25.14,25.24,1996667
2021-09-27 07:00:00,24.94,25.8,24.89,24.94,2876461
2021-09-28 07:00:00,24.74,25.86,24.68,25.86,3222543
2021-09-29 07:00:00,25.86,26.62,25.45,26.47,2478531
2021-09-30 07:00:00,26.47,26.57,26.26,26.47,2154000
2021-10-01 07:00:00,26.47,27.23,26.36,26.77,1602719
2021-10-04 07:00:00,26.77,27.23,26.42,27.08,1842889
2021-10-05 07:00:00,27.08,27.99,27.03,27.54,2147805
2021-10-06 07:00:00,27.74,27.84,27.08,27.28,1985074
2021-10-07 07:00:00,27.23,28.15,27.18,27.89,2076857
2021-10-08 07:00:00,27.89,28.3,27.69,27.84,1867224
2021-10-11 07:00:00,27.89,27.89,27.33,27.69,2436800
2021-10-12 07:00:00,27.69,28.1,25.7,25.75,6765540
2021-10-13 07:00:00,25.75,26.98,25.75,26.57,2372294
2021-10-14 07:00:00,26.67,29.22,26.62,29.11,6293130
2021-10-15 07:00:00,29.06,30.39,29.06,30.18,4550503
2021-10-18 07:00:00,30.18,31.3,29.52,30.59,2849528
2021-10-19 07:00:00,30.59,31.5,29.72,31.25,2253374
2021-10-20 07:00:00,31.3,31.5,30.39,31.25,2102128
2021-10-21 07:00:00,31.3,31.5,30.9,31.35,1575634
2021-10-22 07:00:00,31.35,32.12,30.95,31.96,3078383
2021-10-25 07:00:00,31.96,34.15,31.56,33.74,3869802
2021-10-26 07:00:00,33.74,33.8,32.27,33.34,3262023
2021-10-27 07:00:00,33.34,35.68,32.98,35.02,4741041
2021-10-28 07:00:00,35.02,38.48,35.02,37.92,6767358
2021-10-29 07:00:00,38.68,38.68,36.65,37.72,3639598
2021-11-01 07:00:00,37.66,38.68,36.95,37.61,4391140
2021-11-02 07:00:00,37.61,40.77,37.41,39.95,6209755
2021-11-03 07:00:00,38.89,41.23,37.1,37.1,6527260
2021-11-04 07:00:00,37.1,40.77,36.85,40.77,6750751
2021-11-05 07:00:00,40.77,44.84,40.77,44.13,6151844
2021-11-08 07:00:00,44.28,48.35,43.67,48.1,6201436
2021-11-09 07:00:00,48.1,50.66,46.95,49.35,6124856
2021-11-10 07:00:00,49.35,49.61,46.38,49.61,5279809
2021-11-11 07:00:00,49.56,49.61,47.0,48.05,3087490
2021-11-12 07:00:00,47.99,49.09,45.9,46.48,3593779
2021-11-15 07:00:00,46.48,47.26,42.25,42.82,4593659
2021-11-16 07:00:00,42.82,43.29,40.94,43.08,2695762
2021-11-17 07:00:00,43.08,43.55,41.67,42.46,3196870
2021-11-18 07:00:00,42.46,43.4,42.3,43.29,1677673
2021-11-19 07:00:00,43.14,46.58,43.14,45.96,4056417
2021-11-22 07:00:00,45.96,47.05,44.34,45.96,3482500
2021-11-23 07:00:00,45.96,47.0,44.76,45.59,2907949
2021-11-24 07:00:00,45.7,46.17,43.03,43.92,3406705
2021-11-25 07:00:00,43.92,44.39,41.67,43.08,3487831
2021-11-26 07:00:00,43.08,43.14,40.21,41.78,2928635
2021-11-29 07:00:00,41.62,42.09,39.74,41.78,1994227
2021-11-30 07:00:00,41.88,42.56,40.73,40.73,1414275
2021-12-01 07:00:00,40.73,40.89,39.17,39.17,925080
2021-12-02 07:00:00,39.17,40.73,39.17,40.21,954752
2021-12-03 07:00:00,40.21,40.94,39.22,40.37,852866
2021-12-06 07:00:00,40.37,40.94,38.96,39.17,2651310
2021-12-07 07:00:00,39.17,43.08,39.06,43.08,5471421
2021-12-08 07:00:00,43.87,47.37,43.14,46.32,6954681
2021-12-09 07:00:00,46.48,47.58,45.85,47.0,4034607
2021-12-10 07:00:00,46.74,47.0,44.34,45.38,3595999
2021-12-13 07:00:00,45.44,48.05,45.23,47.37,4829260
2021-12-14 07:00:00,47.42,47.58,44.5,45.96,3755988
2021-12-15 07:00:00,45.96,46.01,43.45,43.87,3396768
2021-12-16 07:00:00,43.97,46.17,42.82,45.59,3469917
2021-12-17 07:00:00,45.59,46.32,44.34,45.33,5080787
2021-12-20 07:00:00,45.07,45.44,41.94,42.82,4828360
2021-12-21 07:00:00,42.82,43.35,41.2,42.3,4337740
2021-12-22 07:00:00,42.2,42.67,40.21,40.21,4376875
2021-12-23 07:00:00,40.21,40.32,36.56,36.56,4855712
2021-12-24 07:00:00,36.03,38.91,33.48,37.29,4403798
2021-12-27 07:00:00,37.34,37.86,36.5,37.5,1641324
2021-12-28 07:00:00,37.55,39.85,37.5,38.65,2978371
2021-12-29 07:00:00,38.65,38.8,37.55,37.55,2373561
2021-12-30 07:00:00,37.55,38.07,36.76,38.07,1590305
2021-12-31 07:00:00,38.07,38.33,37.08,37.91,1386700
2022-01-04 07:00:00,37.97,38.75,37.65,38.49,1456841
2022-01-05 07:00:00,38.49,38.96,37.97,38.12,1620817
2022-01-06 07:00:00,38.12,38.49,37.08,37.08,2670700
2022-01-07 07:00:00,37.08,40.73,36.87,40.73,3785891
2022-01-10 07:00:00,40.73,43.29,40.73,41.73,3638931
2022-01-11 07:00:00,41.52,41.88,39.69,40.32,1897647
2022-01-12 07:00:00,36.3,39.69,36.3,37.34,5022943
2022-01-13 07:00:00,37.34,38.12,33.63,33.63,4978166
2022-01-14 07:00:00,31.39,36.97,30.6,36.97,3325191
2022-01-17 07:00:00,37.34,38.12,33.32,33.94,4107875
2022-01-18 07:00:00,33.94,33.94,30.97,32.85,3308427
2022-01-19 07:00:00,32.38,34.31,32.12,33.79,1894134
2022-01-20 07:00:00,33.84,35.72,33.42,35.72,2458714
2022-01-21 07:00:00,34.94,36.09,33.84,33.84,1874515
2022-01-24 07:00:00,33.42,33.84,30.5,31.07,2661473
2022-01-25 07:00:00,31.02,32.17,28.83,32.06,963403
2022-01-26 07:00:00,32.12,33.16,31.91,31.91,1186397
2022-01-27 07:00:00,31.91,32.27,31.02,31.33,1211635
2022-01-28 07:00:00,31.44,32.38,31.23,32.38,1046903
2022-02-07 07:00:00,32.38,33.68,32.38,32.69,810067
2022-02-08 07:00:00,32.8,34.36,32.69,33.79,1292704
2022-02-09 07:00:00,33.79,34.42,33.16,33.94,959735
2022-02-10 07:00:00,33.94,36.5,33.94,35.46,2352059
2022-02-11 07:00:00,35.46,37.34,35.04,36.3,2515513
2022-02-14 07:00:00,36.45,36.45,34.78,35.2,1390818
2022-02-15 07:00:00,34.99,35.35,33.89,35.35,1189253
2022-02-16 07:00:00,35.3,36.66,35.3,35.51,1695615
2022-02-17 07:00:00,35.56,35.98,35.41,35.83,787096
2022-02-18 07:00:00,35.51,37.97,35.25,37.5,3148048
2022-02-21 07:00:00,37.6,38.54,37.18,38.44,2453345
2022-02-22 07:00:00,38.44,38.44,36.3,37.13,2270970
2022-02-23 07:00:00,37.13,38.85,37.03,38.02,2937020
2022-02-24 07:00:00,37.97,38.17,35.56,36.71,3475900
2022-02-25 07:00:00,36.71,37.97,36.71,37.65,2133132
2022-02-28 07:00:00,37.08,37.91,37.08,37.29,1343330
2022-03-01 07:00:00,37.34,39.38,37.18,38.85,4844455
2022-03-02 07:00:00,38.8,39.85,38.38,39.43,4837877
2022-03-03 07:00:00,39.43,40.94,39.43,40.84,5317015
2022-03-04 07:00:00,40.84,40.84,39.85,40.0,2350056
2022-03-07 07:00:00,40.06,40.79,39.12,40.37,4342350
2022-03-08 07:00:00,40.37,40.37,38.44,38.65,3692286
2022-03-09 07:00:00,38.65,38.96,36.97,37.39,3368407
2022-03-10 07:00:00,37.65,38.59,37.65,37.65,994280
2022-03-11 07:00:00,37.65,38.12,36.19,36.19,1954354
2022-03-14 07:00:00,36.19,36.45,34.0,34.0,2823690
2022-03-15 07:00:00,33.94,35.62,33.84,35.41,1505916
2022-03-16 07:00:00,35.41,36.3,35.41,35.62,880479
2022-03-17 07:00:00,35.77,37.03,35.77,36.24,1335691
2022-03-18 07:00:00,36.24,37.97,36.24,37.44,3663644
2022-03-21 07:00:00,37.6,39.06,37.6,38.38,4184069
2022-03-22 07:00:00,38.49,39.38,37.76,37.86,4397839
2022-03-23 07:00:00,38.38,39.01,37.7,38.28,4128092
2022-03-24 07:00:00,38.23,39.43,37.86,39.17,4905026
2022-03-25 07:00:00,39.17,40.37,39.17,39.38,4679808
2022-03-28 07:00:00,39.43,39.43,37.18,38.12,4718586
2022-03-29 07:00:00,38.17,39.32,37.97,39.06,3893746
2022-03-30 07:00:00,38.91,39.69,38.12,39.17,4794189
2022-03-31 07:00:00,39.17,42.41,39.17,41.83,10598776
2022-04-01 07:00:00,41.83,42.72,41.31,42.09,5096540
2022-04-04 07:00:00,42.82,43.29,41.78,42.35,4562133
2022-04-05 07:00:00,42.2,42.61,41.05,41.1,7778416
2022-04-06 07:00:00,40.21,40.84,37.6,37.6,14996599
2022-04-07 07:00:00,36.56,39.01,36.56,37.65,5261686
2022-04-08 07:00:00,37.55,37.65,33.89,33.89,9677751
2022-04-12 07:00:00,33.94,35.25,33.84,34.0,5726309
2022-04-13 07:00:00,34.0,35.88,33.94,35.88,4911555
2022-04-14 07:00:00,36.03,36.3,34.83,34.94,4281409
2022-04-15 07:00:00,34.94,34.94,31.91,32.12,9064863
2022-04-18 07:00:00,32.12,32.95,31.18,32.12,5895723
2022-04-19 07:00:00,32.01,33.21,31.49,31.75,4182773
2022-04-20 07:00:00,31.6,32.27,30.97,31.02,3954320
2022-04-21 07:00:00,30.81,31.02,29.77,30.45,5038775
2022-04-22 07:00:00,30.45,31.28,29.24,31.07,3622488
2022-04-25 07:00:00,30.66,31.28,27.99,27.99,4768910
2022-04-26 07:00:00,27.89,27.99,25.22,26.37,7903335
2022-04-27 07:00:00,26.42,28.98,26.11,28.98,3024460
2022-04-28 07:00:00,29.3,29.77,27.94,28.67,2205446
2022-04-29 07:00:00,28.46,29.35,28.04,28.93,2314880
2022-05-04 07:00:00,28.98,29.98,26.16,29.3,3042002
2022-05-05 07:00:00,29.51,30.71,29.3,29.87,3430321
2022-05-06 07:00:00,29.77,29.77,27.63,27.63,3393686
2022-05-09 07:00:00,27.57,27.57,24.91,24.91,8258979
2022-05-10 07:00:00,24.54,26.16,23.03,26.16,3296008
2022-05-11 07:00:00,26.58,27.0,25.96,26.9,2269041
2022-05-12 07:00:00,27.16,27.16,24.44,26.06,3387661
2022-05-13 07:00:00,26.16,26.16,23.47,23.47,3114473
2022-05-16 07:00:00,23.36,24.95,22.25,23.47,2252612
2022-05-17 07:00:00,23.47,25.53,23.05,25.53,2319654
2022-05-18 07:00:00,25.9,26.59,25.53,26.11,2423560
2022-05-19 07:00:00,25.37,26.75,24.74,26.43,2103100
2022-05-20 07:00:00,26.43,28.38,26.38,27.12,3130291
2022-05-23 07:00:00,27.12,27.7,25.74,25.9,2312009
2022-05-24 07:00:00,25.9,27.22,25.37,27.22,2371250
2022-05-25 07:00:00,27.22,28.54,26.96,28.02,3102354
2022-05-26 07:00:00,28.02,28.38,27.22,27.54,1632129
2022-05-27 07:00:00,27.7,28.02,27.22,27.38,2536300
2022-05-30 07:00:00,27.38,28.38,27.22,28.02,2162308
2022-05-31 07:00:00,28.12,28.76,27.86,28.76,3148947
2022-06-01 07:00:00,28.97,29.12,28.28,28.65,2111704
2022-06-02 07:00:00,28.65,29.39,28.12,28.28,2687114
2022-06-03 07:00:00,28.28,28.44,27.75,27.86,1161750
2022-06-13 07:00:00,28.07,28.65,26.54,26.9,2923190
2022-06-14 07:00:00,26.43,27.54,26.16,27.49,1547259
2022-06-15 07:00:00,27.49,27.86,26.22,26.43,2072246
2022-06-16 07:00:00,26.96,27.59,26.96,27.43,1919255
2022-06-17 07:00:00,27.17,27.17,26.01,26.43,1999673
2022-06-20 07:00:00,26.48,26.9,24.58,24.58,2347216
2022-06-21 07:00:00,24.05,25.11,23.79,24.68,1530350
2022-06-22 07:00:00,24.79,25.53,24.63,25.37,1099710
2022-06-23 07:00:00,25.37,27.49,25.16,27.33,1676479
2022-06-24 07:00:00,27.33,28.17,26.96,26.96,2344207
2022-06-27 07:00:00,29.05,29.05,27.89,28.41,1607330
2022-06-28 07:00:00,28.47,29.92,28.29,29.63,1895955
2022-06-29 07:00:00,29.34,30.15,28.76,29.92,2076535
2022-06-30 07:00:00,30.27,30.44,28.99,29.22,1191778
2022-07-01 07:00:00,29.11,29.34,28.18,28.76,1185170
2022-07-04 07:00:00,28.47,29.75,28.47,29.22,860840
2022-07-05 07:00:00,29.22,29.46,28.76,28.88,749563
2022-07-06 07:00:00,28.47,29.17,28.24,28.29,832039
2022-07-07 07:00:00,28.47,28.7,27.89,28.12,783574
2022-07-08 07:00:00,28.47,30.21,28.12,30.15,2997607
2022-07-11 07:00:00,30.15,31.84,29.63,31.66,2734396
2022-07-12 07:00:00,31.55,33.29,31.37,33.0,3189213
2022-07-13 07:00:00,33.0,34.1,32.54,32.83,2249691
2022-07-14 07:00:00,32.54,33.99,32.3,33.81,2995660
