time,open,high,low,close,volume
2021-08-16 07:00:00,25.9,26.78,25.86,26.14,1197200
2021-08-17 07:00:00,26.23,26.69,25.86,26.18,809900
2021-08-18 07:00:00,26.27,27.98,25.86,27.98,3303400
2021-08-19 07:00:00,28.45,29.23,28.08,28.08,1685100
2021-08-20 07:00:00,28.26,29.37,27.29,28.36,2231000
2021-08-23 07:00:00,28.12,28.45,26.83,26.83,2414900
2021-08-24 07:00:00,26.92,27.2,25.9,26.78,1270700
2021-08-25 07:00:00,26.6,27.06,26.27,26.88,892300
2021-08-26 07:00:00,27.15,28.73,26.97,28.73,2584800
2021-08-27 07:00:00,28.73,30.34,28.73,30.07,1983900
2021-08-30 07:00:00,30.53,30.76,29.84,30.07,1032500
2021-08-31 07:00:00,29.93,31.36,29.56,30.53,1640500
2021-09-01 07:00:00,30.21,31.18,30.11,30.76,1031900
2021-09-06 07:00:00,30.48,31.46,30.3,30.62,1158000
2021-09-07 07:00:00,30.58,30.62,29.6,29.6,1306800
2021-09-08 07:00:00,29.37,30.07,29.37,29.74,669000
2021-09-09 07:00:00,29.74,30.53,29.74,30.53,598700
2021-09-10 07:00:00,30.53,30.85,30.11,30.48,619500
2021-09-13 07:00:00,30.48,30.48,29.74,29.84,932400
2021-09-14 07:00:00,29.79,30.07,29.37,30.02,984100
2021-09-15 07:00:00,29.84,30.3,29.47,30.07,666900
2021-09-16 07:00:00,30.07,30.44,29.84,30.07,720500
2021-09-17 07:00:00,30.07,31.69,30.07,30.95,2313500
2021-09-20 07:00:00,31.08,31.08,30.3,30.34,1060000
2021-09-21 07:00:00,29.74,30.53,29.7,30.53,1033200
2021-09-22 07:00:00,30.48,31.46,30.07,31.46,1075900
2021-09-23 07:00:00,31.46,31.59,30.62,30.99,831500
2021-09-24 07:00:00,30.99,31.13,30.16,30.16,571300
2021-09-27 07:00:00,30.16,30.53,28.68,28.68,1197000
2021-09-28 07:00:00,28.45,29.84,28.45,29.84,990900
2021-09-29 07:00:00,29.6,30.3,29.6,30.11,669000
2021-09-30 07:00:00,30.11,30.21,29.7,30.16,549800
2021-10-01 07:00:00,30.11,30.67,29.84,30.48,834700
2021-10-04 07:00:00,30.81,32.33,30.58,32.29,2540500
2021-10-05 07:00:00,32.33,32.47,32.06,32.29,979700
2021-10-06 07:00:00,32.43,33.21,32.33,33.21,926800
2021-10-07 07:00:00,33.44,33.44,32.89,32.98,572900
2021-10-08 07:00:00,33.3,33.3,32.24,32.61,726200
2021-10-11 07:00:00,32.38,32.75,32.38,32.61,624400
2021-10-12 07:00:00,32.66,33.77,32.56,33.49,896200
2021-10-13 07:00:00,33.49,34.14,33.49,33.77,712700
2021-10-14 07:00:00,34.0,34.0,33.58,33.77,789800
2021-10-15 07:00:00,33.54,33.86,33.4,33.77,374400
2021-10-18 07:00:00,33.77,34.78,33.3,34.23,600700
2021-10-19 07:00:00,34.23,34.92,33.81,34.6,485700
2021-10-20 07:00:00,34.88,34.88,34.0,34.65,355400
2021-10-21 07:00:00,34.65,34.69,34.23,34.65,195800
2021-10-22 07:00:00,34.65,35.29,34.32,35.16,548300
2021-10-25 07:00:00,35.11,35.57,34.92,35.16,315300
2021-10-26 07:00:00,34.83,35.16,34.0,34.78,401500
2021-10-27 07:00:00,34.65,35.29,34.37,35.16,547600
2021-10-28 07:00:00,35.06,35.57,34.92,35.16,424400
2021-10-29 07:00:00,35.2,35.57,34.6,34.6,564000
2021-11-01 07:00:00,34.14,34.55,32.47,33.3,1664800
2021-11-02 07:00:00,33.3,33.77,32.89,33.44,518300
2021-11-03 07:00:00,33.67,33.77,32.84,33.44,596800
2021-11-04 07:00:00,33.12,33.4,32.61,32.75,646900
2021-11-05 07:00:00,32.38,33.07,32.38,32.89,660600
2021-11-08 07:00:00,33.07,33.4,32.89,33.3,639900
2021-11-09 07:00:00,33.3,33.95,33.21,33.3,655700
2021-11-10 07:00:00,33.35,33.35,32.75,32.75,690500
