time,open,high,low,close,volume
2021-08-16 07:00:00,67.3,67.82,66.63,67.0,3270800
2021-08-17 07:00:00,67.08,67.45,66.7,66.85,2202200
2021-08-18 07:00:00,67.0,68.05,66.93,67.38,4710100
2021-08-19 07:00:00,67.75,67.75,67.23,67.6,3061300
2021-08-20 07:00:00,67.6,67.6,65.13,65.73,4326800
2021-08-23 07:00:00,65.65,65.73,64.38,64.38,4356500
2021-08-24 07:00:00,64.46,65.13,64.16,64.61,2375700
2021-08-25 07:00:00,64.68,65.2,64.38,65.06,1675500
2021-08-26 07:00:00,65.06,65.65,64.9,65.13,1896000
2021-08-27 07:00:00,65.43,65.5,64.9,65.13,2346900
2021-08-30 07:00:00,65.2,65.58,65.13,65.43,4306000
2021-08-31 07:00:00,65.5,65.58,65.2,65.43,2957200
2021-09-01 07:00:00,65.43,66.48,65.28,65.95,3430100
2021-09-06 07:00:00,66.1,66.48,66.03,66.1,3212200
2021-09-07 07:00:00,66.86,66.86,65.72,65.72,2622200
2021-09-08 07:00:00,65.72,65.72,64.96,65.04,3682200
2021-09-09 07:00:00,65.04,65.11,64.73,64.89,2452400
2021-09-10 07:00:00,64.89,66.26,64.73,65.88,3962100
2021-09-13 07:00:00,65.88,66.56,65.72,66.41,2956200
2021-09-14 07:00:00,66.41,66.48,65.95,66.26,2482900
2021-09-15 07:00:00,66.1,66.1,65.57,65.57,2425000
2021-09-16 07:00:00,65.88,65.88,65.42,65.8,1825400
2021-09-17 07:00:00,65.8,67.32,65.72,65.88,5292600
2021-09-20 07:00:00,66.71,67.86,66.48,67.55,5447700
2021-09-21 07:00:00,67.02,67.7,66.79,67.63,3096300
2021-09-22 07:00:00,67.4,69.83,67.4,69.68,10050100
2021-09-23 07:00:00,69.68,70.37,68.84,69.15,3941300
2021-09-24 07:00:00,69.3,69.61,68.92,69.07,2990000
2021-09-27 07:00:00,69.0,69.61,67.63,67.63,5053900
2021-09-28 07:00:00,67.63,68.46,67.02,68.01,3757200
2021-09-29 07:00:00,68.01,68.62,67.55,68.24,2763400
2021-09-30 07:00:00,68.46,69.07,68.24,68.24,2799400
2021-10-01 07:00:00,68.01,68.84,67.86,68.39,3805400
2021-10-04 07:00:00,68.92,69.38,68.62,68.69,3060200
